date,cash,total_value,shares_BMNR,shares_BE,shares_OKLO,shares_IREN,shares_SNDK
2024-01-02,40009.798409461975,100000.0,0,1355,1886,2941,0
2024-01-03,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-04,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-05,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-08,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-09,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-10,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-11,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-12,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-16,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-17,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-18,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-19,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-22,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-23,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-24,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-25,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-26,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-29,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-30,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-31,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-01,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-02,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-05,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-06,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-07,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-08,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-09,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-12,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-13,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-14,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-15,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-16,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-20,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-21,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-22,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-23,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-26,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-27,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-28,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-29,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-03-01,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-03-04,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-03-05,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-03-06,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-03-07,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-03-08,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-03-11,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-03-12,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-03-13,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-03-14,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-03-15,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-03-18,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-03-19,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-03-20,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-03-21,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-03-22,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-03-25,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-03-26,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-03-27,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-03-28,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-04-01,40005.380474090576,98326.9381980896,0,4972,0,0,0
2024-04-02,40017.29032611847,98426.38047409058,0,1657,1545,3306,0
2024-04-03,40002.93053627014,97686.27002334595,0,0,4482,0,0
2024-04-04,40010.30869293213,97820.72882652283,0,1634,1494,3346,0
2024-04-05,40019.71845245361,97420.76825809479,0,2455,2191,0,0
2024-04-08,40014.12938499451,103835.1169681549,0,0,1988,5899,0
2024-04-09,40003.60046482086,97718.20043182373,0,2429,2038,0,0
2024-04-10,40003.60046482086,94583.24080562592,0,2429,2038,0,0
2024-04-11,40014.01190471649,94975.20043182373,0,0,2049,5530,0
2024-04-12,40014.592604637146,91873.75290107727,0,1609,1355,3718,0
2024-04-15,40002.19195270538,89527.19195270538,0,0,3962,0,0
2024-04-16,40017.08283185959,90398.83301067352,0,1700,1320,3861,0
2024-04-17,90815.58290433884,90815.58290433884,0,0,0,0,0
2024-04-18,40015.79342365265,90815.58290433884,0,1737,1336,3619,0
2024-04-19,40007.15293216705,91357.15293216705,0,0,4108,0,0
2024-04-22,40016.15257167816,91685.79261875153,0,1848,1369,3126,0
2024-04-23,40004.732922554016,93422.07219219208,0,0,0,9573,0
2024-04-24,40000.02113246918,90262.98292255402,0,5214,0,0,0
2024-04-25,89793.72212696075,89793.72212696075,0,0,0,0,0
2024-04-26,40011.89168548584,89793.72212696075,0,0,1943,4900,0
2024-04-29,40019.59251022339,91010.95211410522,0,2320,1768,0,0
2024-04-30,40003.99185562134,90133.51237106323,0,4504,0,0,0
2024-05-01,40005.733567237854,90944.23374557495,0,2252,1827,0,0
2024-05-02,40005.8933672905,89172.48338890076,0,2149,0,5379,0
2024-05-03,40024.20359992981,90806.763879776,0,2152,1712,0,0
2024-05-06,40015.102334976196,91873.0028629303,0,2125,0,4893,0
2024-05-07,40011.45220994949,89833.86414766312,0,4233,0,0,0
2024-05-08,40006.04276609421,89960.85301733017,0,0,3293,0,0
2024-05-09,40010.81242895126,100037.43125867844,0,5113,0,0,0
2024-05-10,97071.89164876938,97071.89164876938,0,0,0,0,0
2024-05-13,40010.94087314606,97071.89164876938,0,0,2920,5883,0
2024-05-14,40011.01133728027,101277.55042266846,0,2455,2742,0,0
2024-05-15,40011.042123794556,99742.6517496109,0,1548,1939,3829,0
2024-05-16,40011.62184333801,99958.1117887497,0,2451,3109,0,0
2024-05-17,40005.48172044754,98244.54236793518,0,0,3232,4837,0
2024-05-20,40008.522117614746,95849.12310600281,0,2161,3598,0,0
2024-05-21,40015.912013053894,99473.57257080078,0,1310,2664,2678,0
2024-05-22,40015.912013053894,102141.43221950531,0,1310,2664,2678,0
2024-05-23,40015.912013053894,99775.43227958679,0,1310,2664,2678,0
2024-05-24,109364.15199184418,109364.15199184418,0,0,0,0,0
2024-05-28,40007.66113805771,109364.15199184418,0,2098,0,4395,0
2024-05-29,106585.92109251022,106585.92109251022,0,0,0,0,0
2024-05-30,40020.20299863815,106585.92109251022,0,2000,0,4492,0
2024-05-31,40012.71387434006,107652.88221693039,0,2072,3359,0,0
2024-06-03,40011.383877277374,103851.82374620438,0,0,3436,3990,0
2024-06-04,40007.62436532974,104929.00419855118,0,2161,3788,0,0
2024-06-05,40008.60344743729,108325.02560281754,0,0,3758,3770,0
2024-06-06,40010.93448114395,110594.34345293045,0,2299,4162,0,0
2024-06-07,40012.295719623566,108880.79641962051,0,0,4124,3270,0
2024-06-10,40016.836861133575,111048.19787836075,0,2347,3925,0,0
2024-06-11,40009.883897304535,111726.33611249924,0,0,0,5807,0
2024-06-12,40012.38337278366,118694.73500490189,0,2570,0,2903,0
2024-06-13,40012.38337278366,118590.48379945755,0,2570,0,2903,0
2024-06-14,40009.56243276596,115218.14395189285,0,0,0,5689,0
2024-06-17,40003.21468400955,122215.61134767532,0,0,8746,0,0
2024-06-18,40007.18677663803,126501.15768671036,0,0,4373,3100,0
2024-06-20,40012.80856466293,123941.00626134872,0,0,0,6038,0
2024-06-21,40022.126769542694,120197.44695234299,0,2085,2963,2012,0
2024-06-24,40003.16397237778,121246.84787893295,0,0,8534,0,0
2024-06-25,40001.824510097504,120308.10267019272,0,6029,0,0,0
2024-06-26,40008.40739107132,116087.80382013321,0,0,8510,0,0
2024-06-27,40010.48928308487,112854.01096200943,0,2793,4255,0,0
2024-06-28,40003.4175658226,110236.65978002548,0,0,8292,0,0
2024-07-01,40003.4175658226,106339.4175658226,0,0,8292,0,0
2024-07-02,40011.72566461563,106588.17535161972,0,0,4146,2313,0
2024-07-03,40011.72566461563,107407.77654695511,0,0,4146,2313,0
2024-07-05,40008.32544517517,106493.01544237137,0,2734,4345,0,0
2024-07-08,40012.95476055145,106177.16535949707,0,0,4459,2261,0
2024-07-09,40006.993421554565,103244.09330511093,0,2579,4117,0,0
2024-07-10,40007.65302324295,105048.45477724075,0,0,8360,0,0
2024-07-11,40004.895740032196,102791.2549366951,0,2348,0,2803,0
2024-07-12,40007.020226955414,107311.38754320145,0,0,7817,0,0
2024-07-15,40011.70772886276,108171.26231431961,0,2344,0,2841,0
2024-07-16,110417.16798353195,110417.16798353195,0,0,0,0,0
2024-07-17,40013.28788328171,110417.16798353195,0,2304,0,3126,0
2024-07-18,105745.86557340622,105745.86557340622,0,0,0,0,0
2024-07-19,40012.25617647171,105745.86557340622,0,2318,3817,0,0
2024-07-22,40004.58749437332,107434.92705011368,0,0,0,5823,0
2024-07-23,40015.48921442032,103417.05949354172,0,2098,0,2911,0
2024-07-24,40009.2849316597,100101.28303194046,0,4150,0,0,0
2024-07-25,40003.42412233353,100101.28303194046,0,0,7146,0,0
2024-07-26,40009.8729224205,105746.6227593422,0,2265,3573,0,0
2024-07-29,102650.89269971848,102650.89269971848,0,0,0,0,0
2024-07-30,40010.973531246185,102650.89269971848,0,0,3535,3339,0
2024-07-31,105803.20386075974,105803.20386075974,0,0,0,0,0
2024-08-01,40014.053651332855,105803.20386075974,0,1754,2617,2361,0
2024-08-02,40005.44541692734,102478.76221609116,0,0,7628,0,0
2024-08-05,40008.70592737198,98283.36439847946,0,2673,3814,0,0
2024-08-06,98530.47534418106,98530.47534418106,0,0,0,0,0
2024-08-07,40007.956322193146,98530.47534418106,0,2956,3922,0,0
2024-08-08,99716.35703229904,99716.35703229904,0,0,0,0,0
2024-08-09,40010.19853925705,99716.35703229904,0,2598,3986,0,0
2024-08-12,40005.27843332291,97053.22019147873,0,5121,0,0,0
2024-08-13,40005.27843332291,100740.33667516708,0,5121,0,0,0
2024-08-14,40011.49752998352,98435.88765192032,0,2560,3839,0,0
2024-08-15,40008.7078204155,99357.62555265427,0,4954,0,0,0
2024-08-16,40015.656606674194,97524.64611959457,0,1651,2553,2405,0
2024-08-19,40015.656606674194,97569.85621976852,0,1651,2553,2405,0
2024-08-20,40002.866662979126,96238.07745456696,0,0,0,6917,0
2024-08-21,40011.62791633606,100042.42877388,0,2592,0,3458,0
2024-08-22,40002.537376880646,97155.50864219666,0,0,4221,3528,0
2024-08-23,100171.94777822495,100171.94777822495,0,0,0,0,0
2024-08-26,40013.76889371872,100171.94777822495,0,2534,4328,0,0
2024-08-27,40006.588720321655,99745.42939329147,0,1692,2882,2533,0
2024-08-28,40006.588720321655,96404.70878696442,0,1692,2882,2533,0
2024-08-29,40008.187512397766,100282.62939929962,0,0,4680,3537,0
2024-08-30,40012.00724411011,95925.45599079132,0,1565,3122,2356,0
2024-09-03,40006.74725103378,90966.68866157532,0,2312,0,3693,0
2024-09-04,40003.10515880585,90648.74665260315,0,0,8702,0,0
2024-09-05,40002.3767952919,90648.74665260315,0,0,0,7481,0
2024-09-06,40002.3767952919,88180.01722335815,0,0,0,7481,0
2024-09-09,40007.7067732811,93341.90765142441,0,0,4720,3740,0
2024-09-10,96914.70827817917,96914.70827817917,0,0,0,0,0
2024-09-11,96914.70827817917,96914.70827817917,0,0,0,0,0
2024-09-12,40011.62847852707,96914.70827817917,0,2741,0,3850,0
2024-09-13,40005.38816738129,97075.82773542404,0,0,0,7549,0
2024-09-16,98359.15831136703,98359.15831136703,0,0,0,0,0
2024-09-17,40002.256544589996,98359.15831136703,0,0,9263,0,0
2024-09-18,40002.632650375366,97618.11460113525,0,5682,0,0,0
2024-09-19,40008.701486587524,98186.31134986877,0,1894,2934,2489,0
2024-09-20,40008.78221511841,104039.57131958008,0,5869,0,0,0
2024-09-23,40010.8202586174,103746.12020015717,0,1956,2557,2679,0
2024-09-24,40001.606701374054,105933.15003061295,0,0,7934,0,0
2024-09-25,40002.75390672684,105298.42306947708,0,3207,3967,0,0
2024-09-26,40008.56226968765,107424.48311471939,0,0,0,7384,0
2024-09-27,40002.84395837784,105356.96508646011,0,0,7393,0,0
2024-09-30,40003.37538480759,99812.21508646011,0,2832,0,3543,0
2024-10-01,40005.86461162567,96305.48556041718,0,1838,2182,2428,0
2024-10-02,40005.80278110504,99395.00423336029,0,0,0,7614,0
2024-10-03,40011.384430885315,99699.56394290924,0,2802,0,3807,0
2024-10-04,40003.08314990997,103401.80537891388,0,0,0,7304,0
2024-10-07,40007.04615688324,100991.48593616486,0,0,5786,0,0
2024-10-08,40011.54615688324,97867.04615688324,0,2822,2893,0,0
2024-10-09,40018.69633483887,97584.66844463348,0,1817,1999,2555,0
2024-10-10,40018.69633483887,96926.77746391296,0,1817,1999,2555,0
2024-10-11,40013.08603668213,97599.8245716095,0,2681,0,3720,0
2024-10-14,40009.78537273407,99787.945145607,0,0,5954,0,0
2024-10-15,40003.162848472595,109373.88310146332,0,6632,0,0,0
2024-10-16,109042.2818365097,109042.2818365097,0,0,0,0,0
2024-10-17,40017.143359184265,109042.2818365097,0,3397,2194,0,0
2024-10-18,40021.49343204498,114527.2818365097,0,2445,1362,2617,0
2024-10-21,40014.68354129791,119715.40212535858,0,4038,1786,0,0
2024-10-22,40016.843583106995,116506.80155658722,0,2620,1224,2748,0
2024-10-23,40016.843583106995,109953.48338794708,0,2620,1224,2748,0
2024-10-24,40000.79372215271,111591.60120105743,0,3895,0,3874,0
2024-10-25,40019.74255943298,112837.79372215271,0,3833,1905,0,0
2024-10-28,40018.69109725952,125597.19109725952,0,0,3493,0,0
2024-10-29,40018.69109725952,126784.81163024902,0,0,3493,0,0
2024-10-30,40003.78133010864,119973.45896530151,0,0,0,7749,0
2024-10-31,110674.66044330597,110674.66044330597,0,0,0,0,0
2024-11-01,40006.76119041443,110674.66044330597,0,3555,0,3904,0
2024-11-04,111694.90099906921,111694.90099906921,0,0,0,0,0
2024-11-05,40005.044363975525,111694.90099906921,0,0,0,8019,0
2024-11-06,128534.80405807495,128534.80405807495,0,0,0,0,0
2024-11-07,40010.32583808899,128534.80405807495,0,0,3333,0,0
2024-11-08,40017.92554283142,121568.83354949951,0,0,1666,3711,0
2024-11-11,127417.13465309143,127417.13465309143,0,0,0,0,0
2024-11-12,40016.42406272888,127417.13465309143,0,0,3869,0,0
2024-11-13,40012.62204551697,129312.94376754761,0,3283,0,4104,0
2024-11-14,40013.303877830505,126005.18085575104,0,0,3601,0,0
2024-11-15,40019.47434711456,104831.3038778305,0,1022,1200,2025,0
2024-11-18,40001.29389286041,108891.54389286041,0,0,0,6721,0
2024-11-19,40010.705315589905,109966.9028673172,0,0,3209,0,0
2024-11-20,40022.45752811432,107239.25776386261,0,1355,0,3328,0
2024-11-21,40023.179005622864,104809.31914043427,0,1353,1284,0,0
2024-11-22,40025.419697761536,107233.26029491425,0,2609,0,0,0
2024-11-25,40025.419697761536,107728.97168827057,0,2609,0,0,0
2024-11-26,40031.53788566589,108302.94989681244,0,869,1033,2381,0
2024-11-27,40031.53788566589,115875.77696990967,0,869,1033,2381,0
2024-11-29,40027.58736038208,120369.72003936768,0,1463,1707,0,0
2024-12-02,40016.99647140503,117358.15669059753,0,2873,0,0,0
2024-12-03,40037.72715950012,115117.21471786499,0,1436,1865,0,0
2024-12-04,40030.14677238464,115709.90843009949,0,960,1240,1768,0
2024-12-05,40030.14677238464,114868.14512443542,0,960,1240,1768,0
2024-12-06,40017.07767677307,120404.8671169281,0,0,3669,0,0
2024-12-09,40032.00776100159,113727.28823661804,0,1386,0,2540,0
2024-12-10,40032.62677192688,106495.82593727112,0,1416,1804,0,0
2024-12-11,40016.77651786804,108213.30813789368,0,0,3539,0,0
2024-12-12,40017.64726448059,105028.20948791504,0,0,1769,2421,0
2024-12-13,40032.396260261536,104536.5276479721,0,1260,1741,0,0
2024-12-16,40032.396260261536,105155.07498264313,0,1260,1741,0,0
2024-12-17,40045.15739154816,104495.69750118256,0,867,1125,1565,0
