date,cash,total_value,shares_BMNR,shares_BE,shares_OKLO,shares_IREN,shares_SNDK
2024-01-02,40009.798409461975,100000.0,0,1355,1886,2941,0
2024-01-03,40009.798409461975,98326.9381980896,0,1355,1886,2941,0
2024-01-04,40009.798409461975,98766.086810112,0,1355,1886,2941,0
2024-01-05,40009.798409461975,96977.69891023636,0,1355,1886,2941,0
2024-01-08,40009.798409461975,97779.00974655151,0,1355,1886,2941,0
2024-01-09,40009.798409461975,96016.14863491058,0,1355,1886,2941,0
2024-01-10,40009.798409461975,97260.4179944992,0,1355,1886,2941,0
2024-01-11,40009.798409461975,95414.82930660248,0,1355,1886,2941,0
2024-01-12,40009.798409461975,92472.13871717453,0,1355,1886,2941,0
2024-01-16,40009.798409461975,90242.07854223251,0,1355,1886,2941,0
2024-01-17,40009.798409461975,89148.52861595154,0,1355,1886,2941,0
2024-01-18,40009.798409461975,88072.7892370224,0,1355,1886,2941,0
2024-01-19,40009.798409461975,88210.09861326218,0,1355,1886,2941,0
2024-01-22,40009.798409461975,89083.29881954193,0,1355,1886,2941,0
2024-01-23,40009.798409461975,88711.17859983444,0,1355,1886,2941,0
2024-01-24,40009.798409461975,88207.58818244934,0,1355,1886,2941,0
2024-01-25,40009.798409461975,89178.18809938431,0,1355,1886,2941,0
2024-01-26,40009.798409461975,89739.21871519089,0,1355,1886,2941,0
2024-01-29,40009.798409461975,90546.33838033676,0,1355,1886,2941,0
2024-01-30,40009.798409461975,89298.04822349548,0,1355,1886,2941,0
2024-01-31,40009.798409461975,87849.43800449371,0,1355,1886,2941,0
2024-02-01,40009.798409461975,88340.99800014496,0,1355,1886,2941,0
2024-02-02,40009.798409461975,86922.36902999878,0,1355,1886,2941,0
2024-02-05,40009.798409461975,85757.13897562027,0,1355,1886,2941,0
2024-02-06,40009.798409461975,86733.04843783379,0,1355,1886,2941,0
2024-02-07,40009.798409461975,87486.39854717255,0,1355,1886,2941,0
2024-02-08,40009.798409461975,90628.95810174942,0,1355,1886,2941,0
2024-02-09,40009.798409461975,93112.9475684166,0,1355,1886,2941,0
2024-02-12,40009.798409461975,97189.28720331192,0,1355,1886,2941,0
2024-02-13,40009.798409461975,95653.44884967804,0,1355,1886,2941,0
2024-02-14,40009.798409461975,100335.32923793793,0,1355,1886,2941,0
2024-02-15,40009.798409461975,99097.24781036377,0,1355,1886,2941,0
2024-02-16,40009.798409461975,93473.58861207962,0,1355,1886,2941,0
2024-02-20,40009.798409461975,92349.2483921051,0,1355,1886,2941,0
2024-02-21,40009.798409461975,91745.87871599197,0,1355,1886,2941,0
2024-02-22,40009.798409461975,91190.94904708862,0,1355,1886,2941,0
2024-02-23,40009.798409461975,89878.11844873428,0,1355,1886,2941,0
2024-02-26,40009.798409461975,92187.64834976196,0,1355,1886,2941,0
2024-02-27,40009.798409461975,92616.00858736038,0,1355,1886,2941,0
2024-02-28,40009.798409461975,90070.19794082642,0,1355,1886,2941,0
2024-02-29,40009.798409461975,89312.08995771408,0,1355,1886,2941,0
2024-03-01,40009.798409461975,89977.96784877777,0,1355,1886,2941,0
2024-03-04,40009.798409461975,89095.0467672348,0,1355,1886,2941,0
2024-03-05,40009.798409461975,87479.56927871704,0,1355,1886,2941,0
2024-03-06,40009.798409461975,89054.67777490616,0,1355,1886,2941,0
2024-03-07,40009.798409461975,90175.39780187607,0,1355,1886,2941,0
2024-03-08,40009.798409461975,90007.55912923813,0,1355,1886,2941,0
2024-03-11,40009.798409461975,89492.17859649658,0,1355,1886,2941,0
2024-03-12,40009.798409461975,88815.36809110641,0,1355,1886,2941,0
2024-03-13,40009.798409461975,88361.28825616837,0,1355,1886,2941,0
2024-03-14,40009.798409461975,86025.20823907852,0,1355,1886,2941,0
2024-03-15,40009.798409461975,86341.3380074501,0,1355,1886,2941,0
2024-03-18,40009.798409461975,87358.24908781052,0,1355,1886,2941,0
2024-03-19,40009.798409461975,86509.83881759644,0,1355,1886,2941,0
2024-03-20,40009.798409461975,90105.09869670868,0,1355,1886,2941,0
2024-03-21,40009.798409461975,90188.18784475327,0,1355,1886,2941,0
2024-03-22,40009.798409461975,88604.49917507172,0,1355,1886,2941,0
2024-03-25,40009.798409461975,90487.87885284424,0,1355,1886,2941,0
2024-03-26,40009.798409461975,92218.38919591904,0,1355,1886,2941,0
2024-03-27,40009.798409461975,91777.5169916153,0,1355,1886,2941,0
2024-03-28,40009.798409461975,92659.51852369308,0,1355,1886,2941,0
2024-04-01,40009.798409461975,97903.69774770737,0,1355,1886,2941,0
2024-04-02,40009.798409461975,97017.13873624802,0,1355,1886,2941,0
