date,cash,total_value,shares_BMNR,shares_BE,shares_OKLO,shares_IREN,shares_SNDK
2024-01-02,40009.798409461975,100000.0,0,1355,1886,2941,0
2024-01-03,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-04,40007.54028701782,98326.9381980896,0,0,5476,0,0
2024-01-05,40007.54028701782,98381.69945144653,0,0,5476,0,0
2024-01-08,40007.54028701782,98272.18216705322,0,0,5476,0,0
2024-01-09,40007.54028701782,98299.56279373169,0,0,5476,0,0
2024-01-10,40007.54028701782,98162.65966033936,0,0,5476,0,0
2024-01-11,98272.18216705322,98272.18216705322,0,0,0,0,0
2024-01-12,40007.54028701782,98272.18216705322,0,0,5476,0,0
2024-01-16,40007.54028701782,98162.65966033936,0,0,5476,0,0
2024-01-17,98162.65966033936,98162.65966033936,0,0,0,0,0
2024-01-18,98162.65966033936,98162.65966033936,0,0,0,0,0
2024-01-19,40005.92903423309,98162.65966033936,0,0,5471,0,0
2024-01-22,40005.92903423309,98272.07694721222,0,0,5471,0,0
2024-01-23,40005.92903423309,98983.30757331848,0,0,5471,0,0
2024-01-24,40005.92903423309,99038.018825531,0,0,5471,0,0
2024-01-25,40005.92903423309,98983.30757331848,0,0,5471,0,0
2024-01-26,40013.66840457916,98819.1790342331,0,2358,2735,0,0
2024-01-29,40013.66840457916,98869.96813106537,0,2358,2735,0,0
2024-01-30,40007.186957359314,97487.2483253479,0,0,5123,0,0
2024-01-31,40007.186957359314,96974.94637107849,0,0,5123,0,0
2024-02-01,40007.186957359314,97128.6350030899,0,0,5123,0,0
2024-02-02,40016.0463552475,94464.67754364014,0,2347,2561,0,0
2024-02-05,93152.49660778046,93152.49660778046,0,0,0,0,0
2024-02-06,93152.49660778046,93152.49660778046,0,0,0,0,0
2024-02-07,93152.49660778046,93152.49660778046,0,0,0,0,0
2024-02-08,40000.29760169983,93152.49660778046,0,0,0,10422,0
2024-02-09,40000.29760169983,101906.97819805145,0,0,0,10422,0
2024-02-12,40000.29760169983,112224.75581264496,0,0,0,10422,0
2024-02-13,40004.16799926758,112120.53839683533,0,3205,0,5211,0
2024-02-14,40002.117259025574,120786.019115448,0,0,0,9733,0
2024-02-15,40015.07530498505,115335.53503131866,0,3146,0,4866,0
2024-02-16,40015.07530498505,104235.01538658142,0,3146,0,4866,0
2024-02-20,40006.57601261139,101506.81498813629,0,0,0,8952,0
2024-02-21,40006.57601261139,99447.85481739044,0,0,0,8952,0
2024-02-22,40006.57601261139,99358.33703708649,0,0,0,8952,0
2024-02-23,40006.57601261139,95329.93447589874,0,0,0,8952,0
2024-02-26,101864.89464664459,101864.89464664459,0,0,0,0,0
2024-02-27,40000.63482093811,101864.89464664459,0,0,0,9138,0
2024-02-28,40000.63482093811,95285.53656387329,0,0,0,9138,0
2024-02-29,40001.95395278931,93914.8356924057,0,0,5067,0,0
2024-03-01,93864.16453266144,93864.16453266144,0,0,0,0,0
2024-03-04,93864.16453266144,93864.16453266144,0,0,0,0,0
2024-03-05,40004.92299365997,93864.16453266144,0,0,5043,0,0
2024-03-06,40004.92299365997,94116.31068515778,0,0,5043,0,0
2024-03-07,40009.8435049057,94166.74183940887,0,2594,2521,0,0
2024-03-08,40009.8435049057,93879.94517040253,0,2594,2521,0,0
2024-03-11,40009.8435049057,94369.88408470154,0,2594,2521,0,0
2024-03-12,40009.8435049057,93929.63390350342,0,2594,2521,0,0
2024-03-13,40009.8435049057,93229.25271606445,0,2594,2521,0,0
2024-03-14,40009.8435049057,90660.46329307556,0,2594,2521,0,0
2024-03-15,40004.90461063385,91105.82352161407,0,0,4758,0,0
2024-03-18,91819.52624416351,91819.52624416351,0,0,0,0,0
2024-03-19,40020.124603271484,91819.52624416351,0,2735,2387,0,0
2024-03-20,40007.685205459595,92099.98483848572,0,0,4810,0,0
2024-03-21,40005.58421897888,91667.08410453796,0,0,2405,4572,0
2024-03-22,40008.33490753174,89068.18554973602,0,2485,0,4858,0
2024-03-25,40012.543625831604,92065.37444210052,0,2592,2399,0,0
2024-03-26,40015.123760700226,94515.0945777893,0,1682,1644,3193,0
2024-03-27,40015.123760700226,94044.59231901169,0,1682,1644,3193,0
2024-03-28,40015.123760700226,94937.48380565643,0,1682,1644,3193,0
2024-04-01,40015.123760700226,100427.61282253265,0,1682,1644,3193,0
2024-04-02,40015.123760700226,99299.79396152496,0,1682,1644,3193,0
2024-04-03,40015.123760700226,98622.70345401764,0,1682,1644,3193,0
2024-04-04,40000.99477529526,99445.18380022049,0,2521,2304,0,0
2024-04-05,40028.185069561005,99653.88459634781,0,1700,1517,3550,0
2024-04-08,40014.39479970932,103420.53350019455,0,2717,1975,0,0
2024-04-09,40014.39479970932,100258.35480928421,0,2717,1975,0,0
2024-04-10,40014.39479970932,97053.28515768051,0,2717,1975,0,0
2024-04-11,97418.60480928421,97418.60480928421,0,0,0,0,0
2024-04-12,40011.36377954483,97418.60480928421,0,0,4499,0,0
2024-04-15,96248.86377954483,96248.86377954483,0,0,0,0,0
2024-04-16,96248.86377954483,96248.86377954483,0,0,0,0,0
2024-04-17,96248.86377954483,96248.86377954483,0,0,0,0,0
2024-04-18,96248.86377954483,96248.86377954483,0,0,0,0,0
2024-04-19,96248.86377954483,96248.86377954483,0,0,0,0,0
2024-04-22,40002.78144311905,96248.86377954483,0,0,0,10208,0
2024-04-23,40002.78144311905,96963.42066431046,0,0,0,10208,0
2024-04-24,40012.18220567703,93594.78144311905,0,0,1999,5104,0
2024-04-25,40012.18220567703,92386.86259508133,0,0,1999,5104,0
2024-04-26,40012.18220567703,91547.69265508652,0,0,1999,5104,0
2024-04-29,40001.54374933243,92775.52265024185,0,4802,0,0,0
2024-04-30,40014.11446905136,93447.80429887772,0,2401,1944,0,0
2024-05-01,40014.11446905136,94268.78466081619,0,2401,1944,0,0
2024-05-02,40014.11446905136,92384.19427728653,0,2401,1944,0,0
2024-05-03,40004.433854579926,97175.43477869034,0,4845,0,0,0
2024-05-06,40008.88376951218,99113.43293046951,0,2422,1977,0,0
2024-05-07,40021.50359964371,96866.00517988205,0,1610,1321,3738,0
2024-05-08,40021.50359964371,98235.01443529129,0,1610,1321,3738,0
2024-05-09,40021.50359964371,102105.91312551498,0,1610,1321,3738,0
2024-05-10,40021.50359964371,87056.57295942307,0,1610,1321,3738,0
2024-05-13,89652.47415494919,89652.47415494919,0,0,0,0,0
2024-05-14,40007.035975933075,89652.47415494919,0,3978,0,0,0
2024-05-15,40007.035975933075,91164.11461019516,0,3978,0,0,0
2024-05-16,40003.915383815765,88657.97415494919,0,1989,0,4173,0
2024-05-17,40003.915383815765,89649.74515247345,0,1989,0,4173,0
2024-05-20,40003.915383815765,92242.07609272003,0,1989,0,4173,0
2024-05-21,40003.915383815765,100977.68600940704,0,1989,0,4173,0
2024-05-22,40003.915383815765,106199.39633893967,0,1989,0,4173,0
2024-05-23,40003.915383815765,100793.99518966675,0,1989,0,4173,0
2024-05-24,40003.915383815765,105079.31688642502,0,1989,0,4173,0
2024-05-28,40012.265729904175,105807.05619239807,0,1327,2032,2780,0
2024-05-29,40012.265729904175,104537.46515846252,0,1327,2032,2780,0
2024-05-30,40012.265729904175,103582.30395317078,0,1327,2032,2780,0
2024-05-31,40012.265729904175,103787.34459877014,0,1327,2032,2780,0
2024-06-03,40012.265729904175,102029.79565238953,0,1327,2032,2780,0
2024-06-04,40005.934527397156,102072.24667167664,0,2066,0,3491,0
2024-06-05,40002.253657341,104029.27662277222,0,0,0,7067,0
2024-06-06,40009.034373283386,112580.34689235687,0,2364,0,3533,0
2024-06-07,40004.83562374115,112293.28379058838,0,0,0,6865,0
2024-06-10,40004.83562374115,110782.98850440979,0,0,0,6865,0
2024-06-11,40004.83562374115,124787.58824253082,0,0,0,6865,0
2024-06-12,40009.98714828491,133025.586933136,0,0,4560,3432,0
2024-06-13,40018.03619766235,133585.98666763306,0,2065,3055,2277,0
2024-06-14,40010.325691223145,128611.72676467896,0,0,4683,3351,0
2024-06-17,40001.37448596954,132452.4732656479,0,0,0,6398,0
2024-06-18,40001.37448596954,129253.47326564789,0,0,0,6398,0
2024-06-20,40009.07253932953,128933.57204532623,0,0,4760,3199,0
2024-06-21,40010.035581588745,125426.99386405945,0,0,0,6432,0
2024-06-24,40010.035581588745,121246.19631767273,0,0,0,6432,0
2024-06-25,40000.915464401245,123561.71410942078,0,0,8880,0,0
2024-06-26,40001.208776474,119388.11173820496,0,0,0,6470,0
2024-06-27,116282.50852966309,116282.50852966309,0,0,0,0,0
2024-06-28,116282.50852966309,116282.50852966309,0,0,0,0,0
2024-07-01,116282.50852966309,116282.50852966309,0,0,0,0,0
2024-07-02,40001.11670970917,116282.50852966309,0,0,0,5301,0
2024-07-03,40001.11670970917,116070.46873188019,0,0,0,5301,0
2024-07-05,40001.11670970917,119675.14529418945,0,0,0,5301,0
2024-07-08,40001.11670970917,117554.74731636047,0,0,0,5301,0
2024-07-09,40014.475266456604,107959.93509197235,0,2771,0,2650,0
2024-07-10,109668.27478408813,109668.27478408813,0,0,0,0,0
2024-07-11,40010.57538032532,109668.27478408813,0,5210,0,0,0
2024-07-12,40010.57538032532,112794.27677154541,0,5210,0,0,0
2024-07-15,40007.59412097931,115763.97518157959,0,2605,4344,0,0
2024-07-16,40007.59412097931,117561.63574504852,0,2605,4344,0,0
2024-07-17,40007.59412097931,118386.71392250061,0,2605,4344,0,0
2024-07-18,40007.59412097931,114964.52428722382,0,2605,4344,0,0
2024-07-19,40007.59412097931,114348.33342456818,0,2605,4344,0,0
2024-07-22,40007.59412097931,116268.285115242,0,2605,4344,0,0
2024-07-23,40007.59412097931,119507.70223236084,0,2605,4344,0,0
2024-07-24,40007.59412097931,115390.47325992584,0,2605,4344,0,0
2024-07-25,40007.594613075256,114261.03226566315,0,5128,0,0,0
2024-07-26,40007.594613075256,114414.87578678131,0,5128,0,0,0
2024-07-29,40011.77466869354,110722.71441745758,0,2564,4022,0,0
2024-07-30,40005.87518501282,109158.17250537872,0,0,7805,0,0
2024-07-31,40005.87518501282,111031.37816238403,0,0,7805,0,0
2024-08-01,40005.87518501282,105411.77607822418,0,0,7805,0,0
2024-08-02,103928.82190990448,103928.82190990448,0,0,0,0,0
2024-08-05,103928.82190990448,103928.82190990448,0,0,0,0,0
2024-08-06,103928.82190990448,103928.82190990448,0,0,0,0,0
2024-08-07,103928.82190990448,103928.82190990448,0,0,0,0,0
2024-08-08,103928.82190990448,103928.82190990448,0,0,0,0,0
2024-08-09,103928.82190990448,103928.82190990448,0,0,0,0,0
2024-08-12,103928.82190990448,103928.82190990448,0,0,0,0,0
2024-08-13,103928.82190990448,103928.82190990448,0,0,0,0,0
2024-08-14,40010.00276470184,103928.82190990448,0,5602,0,0,0
2024-08-15,107121.96020030975,107121.96020030975,0,0,0,0,0
2024-08-16,40004.552185058594,107121.96020030975,0,5781,0,0,0
2024-08-19,40003.26292514801,108162.54196453094,0,0,0,8394,0
2024-08-20,40009.23272705078,108246.48388576508,0,2964,0,4197,0
2024-08-21,40002.95129394531,110762.31378173828,0,0,0,8152,0
2024-08-22,40002.95129394531,106034.15440368652,0,0,0,8152,0
2024-08-23,40002.95129394531,110273.19036102295,0,0,0,8152,0
2024-08-26,40011.662079811096,106278.71222686768,0,2791,0,4076,0
2024-08-27,40011.08137798309,104899.09390163422,0,5513,0,0,0
2024-08-28,40011.08137798309,102528.50221920013,0,5513,0,0,0
2024-08-29,105615.77927494049,105615.77927494049,0,0,0,0,0
2024-08-30,40012.870327949524,105615.77927494049,0,2754,0,4147,0
2024-09-03,40008.22953462601,98976.25198411942,0,5351,0,0,0
2024-09-04,99778.89994287491,99778.89994287491,0,0,0,0,0
2024-09-05,99778.89994287491,99778.89994287491,0,0,0,0,0
2024-09-06,99778.89994287491,99778.89994287491,0,0,0,0,0
2024-09-09,99778.89994287491,99778.89994287491,0,0,0,0,0
2024-09-10,99778.89994287491,99778.89994287491,0,0,0,0,0
2024-09-11,40008.42957735062,99778.89994287491,0,0,4899,3969,0
2024-09-12,40008.42957735062,99860.10914087296,0,0,4899,3969,0
2024-09-13,40008.42957735062,100926.75906991959,0,0,4899,3969,0
2024-09-16,40008.42957735062,101111.5898399353,0,0,4899,3969,0
2024-09-17,40008.42957735062,102743.19945192337,0,0,4899,3969,0
2024-09-18,40008.42957735062,101120.88771677017,0,0,4899,3969,0
2024-09-19,40008.42957735062,103309.33008003235,0,0,4899,3969,0
2024-09-20,40008.42957735062,111016.20973825455,0,0,4899,3969,0
2024-09-23,40015.18027019501,112193.29095172882,0,3323,4343,0,0
2024-09-24,40009.842062950134,111129.93196582794,0,2249,2853,2640,0
2024-09-25,40009.842062950134,109432.05023479462,0,2249,2853,2640,0
2024-09-26,40002.60167312622,112003.87180423737,0,0,4196,3943,0
2024-09-27,40002.60167312622,111990.79381752014,0,0,4196,3943,0
2024-09-30,40009.430459976196,107227.16065883636,0,2122,2769,2655,0
2024-10-01,40009.430459976196,106011.60164785385,0,2122,2769,2655,0
2024-10-02,40005.98999500275,109792.98999500275,0,0,7346,0,0
2024-10-03,40009.67067241669,109131.8488740921,0,3245,3673,0,0
2024-10-04,40009.67067241669,116253.8888835907,0,3245,3673,0,0
2024-10-07,40022.139203071594,112341.28941822052,0,2327,2287,2887,0
2024-10-08,40008.93892478943,109984.23975372314,0,0,3499,4346,0
2024-10-09,40007.39862251282,106237.80125427246,0,0,6899,0,0
2024-10-10,40013.479186058044,107686.59151744843,0,3311,3449,0,0
2024-10-11,40007.56991100311,107131.9671125412,0,0,7336,0,0
2024-10-14,40001.68936252594,113661.00963115692,0,7042,0,0,0
2024-10-15,40012.222767829895,113661.00963115692,0,0,3161,4218,0
2024-10-16,40012.222767829895,131733.46727085114,0,0,3161,4218,0
2024-10-17,40012.222767829895,127485.85051631927,0,0,3161,4218,0
2024-10-18,40012.222767829895,137666.07035541534,0,0,3161,4218,0
2024-10-21,40012.222767829895,151111.29059696198,0,0,3161,4218,0
2024-10-22,40012.222767829895,144998.89140033722,0,0,3161,4218,0
2024-10-23,40012.222767829895,134470.76164340973,0,0,3161,4218,0
2024-10-24,40013.06295490265,136074.20011425018,0,0,5319,0,0
2024-10-25,40016.914578437805,141659.1562013626,0,0,2659,5495,0
2024-10-28,40016.914578437805,165057.91248226166,0,0,2659,5495,0
2024-10-29,40018.73363113403,164038.72603225708,0,4077,1664,3919,0
2024-10-30,40018.73363113403,159729.47297477722,0,4077,1664,3919,0
2024-10-31,40018.73363113403,152272.65321445465,0,4077,1664,3919,0
2024-11-01,40014.37240028381,152069.9427947998,0,0,5171,0,0
2024-11-04,40025.07196235657,148863.9184551239,0,5030,2585,0,0
2024-11-05,40009.1735458374,150566.369846344,0,9698,0,0,0
2024-11-06,40009.1735458374,146396.2361354828,0,9698,0,0,0
2024-11-07,40033.344614982605,143486.83428573608,0,3232,1298,3077,0
2024-11-08,40033.344614982605,148177.07326602936,0,3232,1298,3077,0
2024-11-11,40033.344614982605,154514.81355190277,0,3232,1298,3077,0
2024-11-12,40033.344614982605,151271.24351596832,0,3232,1298,3077,0
2024-11-13,40014.0640296936,147424.14610099792,0,3949,0,4936,0
2024-11-14,40033.14545536041,143445.66259860992,0,3894,2165,0,0
2024-11-15,40033.14545536041,161322.30307865143,0,3894,2165,0,0
2024-11-18,40007.66666889191,173605.83354091644,0,5857,0,0,0
2024-11-19,40007.66666889191,179111.4166688919,0,5857,0,0,0
2024-11-20,40007.66666889191,185261.26220035553,0,5857,0,0,0
2024-11-21,40007.66666889191,180224.24979686737,0,5857,0,0,0
2024-11-22,40035.10505580902,190883.98800945282,0,2928,2993,0,0
2024-11-25,40029.5664434433,184586.33683300018,0,1857,2103,4629,0
2024-11-26,40006.22004699707,179230.62045288086,0,5320,0,0,0
2024-11-27,40006.22004699707,184763.4151763916,0,5320,0,0,0
2024-11-29,40015.180839538574,186040.22410583496,0,2660,0,5404,0
2024-12-02,40022.601674079895,179820.86042404175,0,1731,2096,3693,0
2024-12-03,40017.82996845245,175213.9099855423,0,2586,0,5228,0
2024-12-04,40017.82996845245,182581.4741373062,0,2586,0,5228,0
2024-12-05,40017.82996845245,181126.585606575,0,2586,0,5228,0
2024-12-06,40017.82996845245,190505.63156604767,0,2586,0,5228,0
2024-12-09,40024.31997966766,184611.99096775055,0,1813,2399,3322,0
2024-12-10,40024.341380119324,171146.92777729034,0,2793,0,4908,0
2024-12-11,172737.0207605362,172737.0207605362,0,0,0,0,0
2024-12-12,40008.32774448395,172737.0207605362,0,0,0,9883,0
2024-12-13,169574.45435142517,169574.45435142517,0,0,0,0,0
