date,ticker,delta_shares,price,cash_after
2024-01-03,BE,-1355,14.020000457763672,59006.89902973175
2024-01-03,OKLO,-1886,10.649999618530273,79092.79831027985
2024-01-03,IREN,-2941,6.539999961853027,98326.9381980896
2024-04-01,BE,4972,11.729999542236328,40005.380474090576
2024-04-02,BE,-3315,11.75,78956.63047409058
2024-04-02,OKLO,1545,12.600000381469727,59489.62988471985
2024-04-02,IREN,3306,5.889999866485596,40017.29032611847
2024-04-03,BE,-1657,11.710000038146973,59420.760389328
2024-04-03,OKLO,2937,12.869999885559082,21621.57072544098
2024-04-03,IREN,-3306,5.559999942779541,40002.93053627014
2024-04-04,BE,1634,11.789999961853027,20738.070598602295
2024-04-04,OKLO,-2988,12.899999618530273,59283.26945877075
2024-04-04,IREN,3346,5.760000228881836,40010.30869293213
2024-04-05,BE,821,11.6899995803833,30412.81903743744
2024-04-05,OKLO,697,13.100000381469727,21282.11877155304
2024-04-05,IREN,-3346,5.599999904632568,40019.71845245361
2024-04-08,BE,-2455,11.670000076293945,68669.56863975525
2024-04-08,OKLO,-203,16.049999237060547,71927.71848487854
2024-04-08,IREN,5899,5.409999847412109,40014.12938499451
2024-04-09,BE,2429,11.880000114440918,11157.609107017517
2024-04-09,OKLO,50,14.15999984741211,10449.609114646912
2024-04-09,IREN,-5899,5.010000228881836,40003.60046482086
2024-04-11,BE,-2429,11.380000114440918,67645.62074279785
2024-04-11,OKLO,11,13.40999984741211,67498.11074447632
2024-04-11,IREN,5530,4.96999979019165,40014.01190471649
2024-04-12,BE,1609,10.739999771118164,22733.352272987366
2024-04-12,OKLO,-694,12.760000228881836,31588.79243183136
2024-04-12,IREN,-1812,4.650000095367432,40014.592604637146
2024-04-15,BE,-1609,10.239999771118164,56490.75223636627
2024-04-15,OKLO,2607,12.5,23903.252236366272
2024-04-15,IREN,-3718,4.329999923706055,40002.19195270538
2024-04-16,BE,1700,9.880000114440918,23206.191758155823
2024-04-16,OKLO,-2642,12.720000267028809,56812.432463645935
2024-04-16,IREN,3861,4.349999904632568,40017.08283185959
2024-04-17,BE,-1700,9.800000190734863,56677.083156108856
2024-04-17,OKLO,-1320,12.699999809265137,73441.08290433884
2024-04-17,IREN,-3861,4.5,90815.58290433884
2024-04-18,BE,1737,9.75,73879.83290433884
2024-04-18,OKLO,1336,12.670000076293945,56952.712802410126
2024-04-18,IREN,3619,4.679999828338623,40015.79342365265
2024-04-19,BE,-1737,9.630000114440918,56743.10362243652
2024-04-19,OKLO,2772,12.5,22093.103622436523
2024-04-19,IREN,-3619,4.949999809265137,40007.15293216705
2024-04-22,BE,1848,9.319999694824219,22783.793496131897
2024-04-22,OKLO,-2739,12.579999923706055,57240.41328716278
2024-04-22,IREN,3126,5.510000228881836,40016.15257167816
2024-04-23,BE,-1848,9.829999923706055,58181.99243068695
2024-04-23,OKLO,-1369,13.0,75978.99243068695
2024-04-23,IREN,6447,5.579999923706055,40004.732922554016
2024-04-24,BE,5214,9.640000343322754,-10258.228867530823
2024-04-24,IREN,-9573,5.25,40000.02113246918
2024-04-25,BE,-5214,9.550000190734863,89793.72212696075
2024-04-26,OKLO,1943,12.8100004196167,64903.89131164551
2024-04-26,IREN,4900,5.079999923706055,40011.89168548584
2024-04-29,BE,2320,10.989999771118164,14515.0922164917
2024-04-29,OKLO,-175,14.420000076293945,17038.59222984314
2024-04-29,IREN,-4900,4.690000057220459,40019.59251022339
2024-04-30,BE,2184,11.130000114440918,15711.672260284424
2024-04-30,OKLO,-1768,13.739999771118164,40003.99185562134
2024-05-01,BE,-2252,11.3100004196167,65474.112800598145
2024-05-01,OKLO,1827,13.9399995803833,40005.733567237854
2024-05-02,BE,-103,11.4399995803833,41184.053524017334
2024-05-02,OKLO,-1827,12.8100004196167,64587.92429065704
2024-05-02,IREN,5379,4.570000171661377,40005.8933672905
2024-05-03,BE,3,11.800000190734863,39970.49336671829
2024-05-03,OKLO,1712,14.829999923706055,14581.533497333527
2024-05-03,IREN,-5379,4.730000019073486,40024.20359992981
2024-05-06,BE,-27,12.199999809265137,40353.60359477997
2024-05-06,OKLO,-1712,14.949999809265137,65948.00326824188
2024-05-06,IREN,4893,5.300000190734863,40015.102334976196
2024-05-07,BE,2108,11.770000457763672,15203.941370010376
2024-05-07,IREN,-4893,5.070000171661377,40011.45220994949
2024-05-08,BE,-4233,11.800000190734863,89960.85301733017
2024-05-08,OKLO,3293,15.170000076293945,40006.04276609421
2024-05-09,BE,5113,11.739999771118164,-20020.576063632965
2024-05-09,OKLO,-3293,18.229999542236328,40010.81242895126
2024-05-10,BE,-5113,11.15999984741211,97071.89164876938
2024-05-13,OKLO,2920,9.770000457763672,68543.49031209946
2024-05-13,IREN,5883,4.849999904632568,40010.94087314606
2024-05-14,BE,2455,12.479999542236328,9372.541996955872
2024-05-14,OKLO,-178,11.170000076293945,11360.802010536194
2024-05-14,IREN,-5883,4.869999885559082,40011.01133728027
2024-05-15,BE,-907,12.859999656677246,51675.031025886536
2024-05-15,OKLO,-803,10.270000457763672,59921.841393470764
2024-05-15,IREN,3829,5.199999809265137,40011.042123794556
2024-05-16,BE,903,12.229999542236328,28967.35253715515
2024-05-16,OKLO,1170,9.640000343322754,17688.55213546753
2024-05-16,IREN,-3829,5.829999923706055,40011.62184333801
2024-05-17,BE,-2451,12.329999923706055,70232.45165634155
2024-05-17,OKLO,123,9.010000228881836,69124.22162818909
2024-05-17,IREN,4837,6.019999980926514,40005.48172044754
2024-05-20,BE,2161,12.920000076293945,12085.361555576324
2024-05-20,OKLO,366,7.760000228881836,9245.201471805573
2024-05-20,IREN,-4837,6.360000133514404,40008.522117614746
2024-05-21,BE,-851,15.130000114440918,52884.15221500397
2024-05-21,OKLO,-934,7.440000057220459,59833.112268447876
2024-05-21,IREN,2678,7.400000095367432,40015.912013053894
