date,cash,total_value,shares_BMNR,shares_BE,shares_OKLO,shares_IREN,shares_SNDK
2025-01-02,40026.37886047363,100000.0,0,855,915,1912,0
2025-01-03,107435.80889129639,107435.80889129639,0,0,0,0,0
2025-01-06,107435.80889129639,107435.80889129639,0,0,0,0,0
2025-01-07,107435.80889129639,107435.80889129639,0,0,0,0,0
2025-01-08,107435.80889129639,107435.80889129639,0,0,0,0,0
2025-01-10,107435.80889129639,107435.80889129639,0,0,0,0,0
2025-01-13,107435.80889129639,107435.80889129639,0,0,0,0,0
2025-01-14,107435.80889129639,107435.80889129639,0,0,0,0,0
2025-01-15,107435.80889129639,107435.80889129639,0,0,0,0,0
2025-01-16,107435.80889129639,107435.80889129639,0,0,0,0,0
2025-01-17,107435.80889129639,107435.80889129639,0,0,0,0,0
2025-01-21,107435.80889129639,107435.80889129639,0,0,0,0,0
2025-01-22,107435.80889129639,107435.80889129639,0,0,0,0,0
2025-01-23,107435.80889129639,107435.80889129639,0,0,0,0,0
2025-01-24,107435.80889129639,107435.80889129639,0,0,0,0,0
2025-01-27,107435.80889129639,107435.80889129639,0,0,0,0,0
2025-01-28,107435.80889129639,107435.80889129639,0,0,0,0,0
2025-01-29,107435.80889129639,107435.80889129639,0,0,0,0,0
2025-01-30,107435.80889129639,107435.80889129639,0,0,0,0,0
2025-01-31,107435.80889129639,107435.80889129639,0,0,0,0,0
2025-02-03,107435.80889129639,107435.80889129639,0,0,0,0,0
2025-02-04,107435.80889129639,107435.80889129639,0,0,0,0,0
2025-02-05,107435.80889129639,107435.80889129639,0,0,0,0,0
2025-02-06,107435.80889129639,107435.80889129639,0,0,0,0,0
2025-02-07,107435.80889129639,107435.80889129639,0,0,0,0,0
2025-02-10,107435.80889129639,107435.80889129639,0,0,0,0,0
2025-02-11,107435.80889129639,107435.80889129639,0,0,0,0,0
2025-02-12,107435.80889129639,107435.80889129639,0,0,0,0,0
2025-02-13,87455.80889129639,107435.80889129639,0,0,0,0,555
2025-02-14,107796.55973815918,107796.55973815918,0,0,0,0,0
2025-02-18,107796.55973815918,107796.55973815918,0,0,0,0,0
2025-02-19,107796.55973815918,107796.55973815918,0,0,0,0,0
2025-02-20,107796.55973815918,107796.55973815918,0,0,0,0,0
