date,ticker,delta_shares,price,cash_after
2024-01-03,BE,-1355,14.020000457763672,59006.89902973175
2024-01-03,OKLO,-1886,10.649999618530273,79092.79831027985
2024-01-03,IREN,-2941,6.539999961853027,98326.9381980896
2024-01-04,OKLO,5476,10.649999618530273,40007.54028701782
2024-01-11,OKLO,-5476,10.640000343322754,98272.18216705322
2024-01-12,OKLO,5476,10.640000343322754,40007.54028701782
2024-01-17,OKLO,-5476,10.619999885559082,98162.65966033936
2024-01-19,OKLO,5471,10.630000114440918,40005.92903423309
2024-01-26,BE,2358,12.470000267028809,10601.668404579163
2024-01-26,OKLO,-2736,10.75,40013.66840457916
2024-01-30,BE,-2358,11.359999656677246,66800.54759502411
2024-01-30,OKLO,2388,11.220000267028809,40007.186957359314
2024-02-02,BE,2347,11.600000381469727,12781.986062049866
2024-02-02,OKLO,-2562,10.630000114440918,40016.0463552475
2024-02-05,BE,-2347,11.029999732971191,65903.45572853088
2024-02-05,OKLO,-2561,10.640000343322754,93152.49660778046
2024-02-08,IREN,10422,5.099999904632568,40000.29760169983
2024-02-13,BE,3205,11.25,3944.047601699829
2024-02-13,IREN,-5211,6.920000076293945,40004.16799926758
2024-02-14,BE,-3205,11.710000038146973,77534.71812152863
2024-02-14,IREN,4522,8.300000190734863,40002.117259025574
2024-02-15,BE,3146,11.970000267028809,2344.496418952942
2024-02-15,IREN,-4867,7.739999771118164,40015.07530498505
2024-02-20,BE,-3146,8.920000076293945,68077.3955450058
2024-02-20,IREN,4086,6.869999885559082,40006.57601261139
2024-02-26,IREN,-8952,6.909999847412109,101864.89464664459
2024-02-27,IREN,9138,6.769999980926514,40000.63482093811
2024-02-29,OKLO,5067,10.640000343322754,-13912.246918678284
2024-02-29,IREN,-9138,5.900000095367432,40001.95395278931
2024-03-01,OKLO,-5067,10.630000114440918,93864.16453266144
2024-03-05,OKLO,5043,10.680000305175781,40004.92299365997
2024-03-07,BE,2594,10.4399995803833,12923.564082145691
2024-03-07,OKLO,-2522,10.739999771118164,40009.8435049057
2024-03-15,BE,-2594,9.260000228881836,64030.28409862518
2024-03-15,OKLO,2237,10.739999771118164,40004.90461063385
2024-03-18,OKLO,-4758,10.890000343322754,91819.52624416351
2024-03-19,BE,2735,9.470000267028809,65919.07551383972
2024-03-19,OKLO,2387,10.850000381469727,40020.124603271484
2024-03-20,BE,-2735,9.59000015258789,66248.77502059937
2024-03-20,OKLO,2423,10.829999923706055,40007.685205459595
2024-03-21,OKLO,-2405,10.739999771118164,65837.38465499878
2024-03-21,IREN,4572,5.650000095367432,40005.58421897888
2024-03-22,BE,2485,9.869999885559082,15478.634503364563
2024-03-22,OKLO,-2405,10.800000190734863,41452.63496208191
2024-03-22,IREN,286,5.050000190734863,40008.33490753174
2024-03-25,BE,107,10.039999961853027,38934.054911613464
2024-03-25,OKLO,2399,10.850000381469727,12904.90399646759
2024-03-25,IREN,-4858,5.579999923706055,40012.543625831604
2024-03-26,BE,-910,10.800000190734863,49840.54379940033
2024-03-26,OKLO,-755,11.050000190734863,58183.29394340515
2024-03-26,IREN,3193,5.690000057220459,40015.123760700226
2024-04-04,BE,839,11.789999961853027,30123.313792705536
2024-04-04,OKLO,660,12.899999618530273,21609.314044475555
2024-04-04,IREN,-3193,5.760000228881836,40000.99477529526
2024-04-05,BE,-821,11.6899995803833,49598.48443078995
2024-04-05,OKLO,-787,13.100000381469727,59908.18473100662
2024-04-05,IREN,3550,5.599999904632568,40028.185069561005
2024-04-08,BE,1017,11.670000076293945,28159.794991970062
2024-04-08,OKLO,458,16.049999237060547,20808.89534139633
2024-04-08,IREN,-3550,5.409999847412109,40014.39479970932
2024-04-11,BE,-2717,11.380000114440918,70933.8551106453
2024-04-11,OKLO,-1975,13.40999984741211,97418.60480928421
2024-04-12,OKLO,4499,12.760000228881836,40011.36377954483
2024-04-15,OKLO,-4499,12.5,96248.86377954483
2024-04-22,IREN,10208,5.510000228881836,40002.78144311905
2024-04-24,OKLO,1999,13.399999618530273,13216.182205677032
2024-04-24,IREN,-5104,5.25,40012.18220567703
2024-04-29,BE,4802,10.989999771118164,-12761.796695232391
2024-04-29,OKLO,-1999,14.420000076293945,16063.783457279205
2024-04-29,IREN,-5104,4.690000057220459,40001.54374933243
2024-04-30,BE,-2401,11.130000114440918,66724.67402410507
2024-04-30,OKLO,1944,13.739999771118164,40014.11446905136
2024-05-03,BE,2444,11.800000190734863,11174.914002895355
2024-05-03,OKLO,-1944,14.829999923706055,40004.433854579926
2024-05-06,BE,-2423,12.199999809265137,69565.03339242935
2024-05-06,OKLO,1977,14.949999809265137,40008.88376951218
2024-05-07,BE,-812,11.770000457763672,49566.12414121628
2024-05-07,OKLO,-656,14.34000015258789,58973.164241313934
2024-05-07,IREN,3738,5.070000171661377,40021.50359964371
2024-05-13,BE,-1610,11.550000190734863,58617.00390672684
2024-05-13,OKLO,-1321,9.770000457763672,71523.17451143265
2024-05-13,IREN,-3738,4.849999904632568,89652.47415494919
2024-05-14,BE,3978,12.479999542236328,40007.035975933075
2024-05-16,BE,-1989,12.229999542236328,64332.50506544113
2024-05-16,IREN,4173,5.829999923706055,40003.915383815765
2024-05-28,BE,-662,16.530000686645508,50946.77583837509
2024-05-28,OKLO,2032,10.789999961853027,29021.49591588974
2024-05-28,IREN,-1393,7.889999866485596,40012.265729904175
2024-06-04,BE,739,15.020000457763672,28912.48539161682
2024-06-04,OKLO,-2032,8.569999694824219,46326.724771499634
2024-06-04,IREN,711,8.890000343322754,40005.934527397156
2024-06-05,BE,-2066,15.680000305175781,72400.81515789032
2024-06-05,IREN,3576,9.0600004196167,40002.253657341
2024-06-06,BE,2364,15.350000381469727,3714.85275554657
2024-06-06,IREN,-3534,10.270000457763672,40009.034373283386
2024-06-07,BE,-2364,14.84000015258789,75090.79473400116
