date,cash,total_value,shares_BMNR,shares_BE,shares_OKLO,shares_IREN,shares_SNDK
2024-01-02,40009.798409461975,100000.0,0,1355,1886,2941,0
2024-01-03,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-04,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-05,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-08,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-09,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-10,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-11,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-12,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-16,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-17,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-18,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-19,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-22,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-23,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-24,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-25,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-26,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-29,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-30,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-01-31,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-01,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-02,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-05,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-06,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-07,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-08,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-09,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-12,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-13,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-14,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-15,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-16,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-20,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-21,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-22,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-23,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-26,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-27,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-28,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-02-29,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-03-01,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-03-04,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-03-05,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-03-06,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-03-07,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-03-08,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-03-11,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-03-12,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-03-13,98326.9381980896,98326.9381980896,0,0,0,0,0
2024-03-14,40004.53892993927,98326.9381980896,0,0,0,12790,0
2024-03-15,40004.53892993927,98838.53771018982,0,0,0,12790,0
2024-03-18,40004.53892993927,98966.4406375885,0,0,0,12790,0
2024-03-19,40004.53892993927,97431.63600254059,0,0,0,12790,0
2024-03-20,40004.53892993927,112523.83990573883,0,0,0,12790,0
2024-03-21,40004.53892993927,112268.04014968872,0,0,0,12790,0
2024-03-22,40007.28957939148,104594.04136943817,0,0,2990,6395,0
2024-03-25,40007.28957939148,108132.89023208618,0,0,2990,6395,0
2024-03-26,40007.28957939148,109434.34051561356,0,0,2990,6395,0
2024-03-27,40006.44002246857,107686.93770694733,0,0,6070,0,0
2024-03-28,40006.44002246857,109325.84048557281,0,0,6070,0,0
2024-04-01,40006.44002246857,113939.04187488556,0,0,6070,0,0
2024-04-02,40006.44002246857,116488.4423379898,0,0,6070,0,0
2024-04-03,40006.44002246857,118127.3393278122,0,0,6070,0,0
2024-04-04,40006.44002246857,118309.43770694733,0,0,6070,0,0
2024-04-05,40006.44002246857,119523.4423379898,0,0,6070,0,0
2024-04-08,40006.44002246857,137429.9353914261,0,0,6070,0,0
2024-04-09,40012.07914543152,125957.63909626007,0,3617,3035,0,0
2024-04-10,40012.07914543152,121289.16965293884,0,3617,3035,0,0
2024-04-11,40012.07914543152,121872.88909626007,0,3617,3035,0,0
2024-04-12,40012.07914543152,117585.25901222229,0,3617,3035,0,0
2024-04-15,40012.07914543152,114987.65831756592,0,3617,3035,0,0
2024-04-16,40012.07914543152,114353.24036979675,0,3617,3035,0,0
2024-04-17,40012.07914543152,114003.17925643921,0,3617,3035,0,0
2024-04-18,40012.07914543152,113731.27937698364,0,3617,3035,0,0
2024-04-19,40012.07914543152,112781.28955936432,0,3617,3035,0,0
2024-04-22,40012.07914543152,111902.8178100586,0,3617,3035,0,0
2024-04-23,40012.07914543152,115022.18886947632,0,3617,3035,0,0
2024-04-24,40012.07914543152,115548.9592294693,0,3617,3035,0,0
2024-04-25,40012.07914543152,114009.42983531952,0,3617,3035,0,0
2024-04-26,40012.07914543152,117230.6317987442,0,3617,3035,0,0
2024-04-29,40012.07914543152,123527.60854911804,0,3617,3035,0,0
2024-04-30,40012.07914543152,121970.18886470795,0,3617,3035,0,0
2024-05-01,40012.07914543152,123228.24938964844,0,3617,3035,0,0
2024-05-02,40012.07914543152,120268.9089012146,0,3617,3035,0,0
2024-05-03,40012.07914543152,127701.7296037674,0,3617,3035,0,0
2024-05-06,40012.07914543152,129512.72787666321,0,3617,3035,0,0
2024-05-07,40012.07914543152,126106.07126426697,0,3617,3035,0,0
2024-05-08,40012.07914543152,128733.63006687164,0,3617,3035,0,0
2024-05-09,40012.07914543152,137803.70692825317,0,3617,3035,0,0
2024-05-10,40012.07914543152,106023.54801464081,0,3617,3035,0,0
2024-05-13,40012.07914543152,111440.38122463226,0,3617,3035,0,0
2024-05-14,40012.07914543152,119053.18772125244,0,3617,3035,0,0
2024-05-15,40012.07914543152,117696.14929294586,0,3617,3035,0,0
2024-05-16,40012.07914543152,113505.38853168488,0,3617,3035,0,0
2024-05-17,40012.07914543152,111955.03956413269,0,3617,3035,0,0
2024-05-20,40012.07914543152,110295.32011604309,0,3617,3035,0,0
2024-05-21,40012.07914543152,117317.68973302841,0,3617,3035,0,0
2024-05-22,40024.838455200195,123231.67868232727,0,1631,3874,3575,0
2024-05-23,40006.14910697937,120359.37891340256,0,2554,0,5683,0
2024-05-24,40006.14910697937,126108.70101165771,0,2554,0,5683,0
2024-05-28,40006.14910697937,127062.64010190964,0,2554,0,5683,0
2024-05-29,40006.14910697937,123630.64897537231,0,2554,0,5683,0
2024-05-30,40006.14910697937,124615.7366809845,0,2554,0,5683,0
2024-05-31,40006.14910697937,125957.99811077118,0,2554,0,5683,0
2024-06-03,40006.14910697937,125695.64910697937,0,2554,0,5683,0
2024-06-04,40006.14910697937,128889.102227211,0,2554,0,5683,0
2024-06-05,40006.14910697937,131540.85227108002,0,2554,0,5683,0
2024-06-06,40006.14910697937,137574.462682724,0,2554,0,5683,0
2024-06-07,40006.14910697937,137749.49797916412,0,2554,0,5683,0
2024-06-10,40006.14910697937,137239.90178394318,0,2554,0,5683,0
2024-06-11,40006.14910697937,147862.70127487183,0,2554,0,5683,0
2024-06-12,40006.14910697937,156112.54126262665,0,2554,0,5683,0
2024-06-13,40006.14910697937,156428.64899730682,0,2554,0,5683,0
2024-06-14,40006.14910697937,151734.23042964935,0,2554,0,5683,0
2024-06-17,40006.14910697937,157753.7975358963,0,2554,0,5683,0
2024-06-18,40006.14910697937,154146.09704875946,0,2554,0,5683,0
2024-06-20,40006.14910697937,154781.38752365112,0,2554,0,5683,0
2024-06-21,40006.14910697937,148218.6668100357,0,2554,0,5683,0
2024-06-24,40006.14910697937,145597.3991727829,0,2554,0,5683,0
2024-06-25,40006.14910697937,147847.59702682495,0,2554,0,5683,0
2024-06-26,40006.14910697937,141968.0414161682,0,2554,0,5683,0
2024-06-27,40006.14910697937,140312.87879276276,0,2554,0,5683,0
2024-06-28,40006.14910697937,135428.17830562592,0,2554,0,5683,0
2024-07-01,40006.14910697937,140764.58816432953,0,2554,0,5683,0
2024-07-02,40006.14910697937,149418.80027866364,0,2554,0,5683,0
2024-07-03,40006.14910697937,151822.1022491455,0,2554,0,5683,0
2024-07-05,40006.14910697937,156478.27719974518,0,2554,0,5683,0
2024-07-08,40006.14910697937,154843.57936763763,0,2554,0,5683,0
2024-07-09,40011.75043678284,144174.2479572296,0,0,0,8125,0
2024-07-10,40011.75043678284,144824.2473373413,0,0,0,8125,0
2024-07-11,40011.75043678284,131011.74888706207,0,0,0,8125,0
2024-07-12,40011.75043678284,140030.50384616852,0,0,0,8125,0
2024-07-15,40011.75043678284,137471.12450695038,0,0,0,8125,0
2024-07-16,40011.75043678284,140274.25167655945,0,0,0,8125,0
2024-07-17,40011.75043678284,131499.25229644775,0,0,0,8125,0
2024-07-18,40011.75043678284,123130.496717453,0,0,0,8125,0
2024-07-19,40011.75043678284,131824.2519865036,0,0,0,8125,0
2024-07-22,40011.75043678284,134099.24981689453,0,0,0,8125,0
2024-07-23,40011.75043678284,128493.00322628021,0,0,0,8125,0
2024-07-24,40011.75043678284,122927.37481689453,0,0,0,8125,0
2024-07-25,40011.75043678284,116630.50291633606,0,0,0,8125,0
2024-07-26,40011.75043678284,117524.25012683868,0,0,0,8125,0
2024-07-29,40011.75043678284,118986.7526063919,0,0,0,8125,0
2024-07-30,40011.75043678284,116224.2513666153,0,0,0,8125,0
2024-07-31,40011.75043678284,121830.49795722961,0,0,0,8125,0
2024-08-01,40011.75043678284,115493.00012683868,0,0,0,8125,0
2024-08-02,40011.75043678284,110049.24950695038,0,0,0,8125,0
2024-08-05,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-08-06,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-08-07,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-08-08,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-08-09,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-08-12,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-08-13,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-08-14,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-08-15,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-08-16,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-08-19,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-08-20,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-08-21,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-08-22,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-08-23,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-08-26,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-08-27,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-08-28,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-08-29,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-08-30,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-09-03,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-09-04,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-09-05,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-09-06,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-09-09,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-09-10,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-09-11,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-09-12,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-09-13,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-09-16,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-09-17,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-09-18,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-09-19,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-09-20,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-09-23,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-09-24,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-09-25,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-09-26,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-09-27,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-09-30,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-10-01,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-10-02,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-10-03,108099.2513666153,108099.2513666153,0,0,0,0,0
2024-10-04,40008.10391998291,108099.2513666153,0,0,6085,0,0
2024-10-07,40008.10391998291,104144.00368785858,0,0,6085,0,0
2024-10-08,40009.10319900513,100858.10391998291,0,0,3042,3780,0
2024-10-09,40009.10319900513,97600.10522460938,0,0,3042,3780,0
2024-10-10,40009.10319900513,97558.52418708801,0,0,3042,3780,0
2024-10-11,40009.10319900513,97100.60117340088,0,0,3042,3780,0
2024-10-14,40009.10319900513,102794.18207359314,0,0,3042,3780,0
2024-10-15,40009.10319900513,108447.80030822754,0,0,3042,3780,0
2024-10-16,40009.10319900513,125666.78742599487,0,0,3042,3780,0
2024-10-17,40009.10319900513,121690.76108551025,0,0,3042,3780,0
2024-10-18,40009.10319900513,131336.9609413147,0,0,3042,3780,0
2024-10-21,40009.10319900513,144239.7211418152,0,0,3042,3780,0
2024-10-22,40009.10319900513,138452.36195755005,0,0,3042,3780,0
2024-10-23,40009.10319900513,128488.10203170776,0,0,3042,3780,0
2024-10-24,40009.10319900513,129874.82070922852,0,0,3042,3780,0
2024-10-25,40009.10319900513,133106.72505569458,0,0,3042,3780,0
2024-10-28,40009.10319900513,155740.10175704956,0,0,3042,3780,0
2024-10-29,40009.10319900513,155451.38438415527,0,0,3042,3780,0
2024-10-30,40009.10319900513,148650.08018875122,0,0,3042,3780,0
2024-10-31,40009.10319900513,142806.01998138428,0,0,3042,3780,0
2024-11-01,40009.10319900513,140138.2441520691,0,0,3042,3780,0
2024-11-04,40009.10319900513,136211.00174331665,0,0,3042,3780,0
2024-11-05,40009.10319900513,136406.66138076782,0,0,3042,3780,0
2024-11-06,40009.10319900513,147812.54096603394,0,0,3042,3780,0
2024-11-07,40009.10319900513,163178.4217185974,0,0,3042,3780,0
2024-11-08,40009.10319900513,155989.04024505615,0,0,3042,3780,0
2024-11-11,40009.10319900513,161394.62157440186,0,0,3042,3780,0
2024-11-12,40009.10319900513,155599.88222122192,0,0,3042,3780,0
2024-11-13,40006.142090797424,151344.86339950562,0,2729,1608,3411,0
2024-11-14,40006.142090797424,149881.92975234985,0,2729,1608,3411,0
2024-11-15,40006.142090797424,163036.57068538666,0,2729,1608,3411,0
2024-11-18,40006.142090797424,170454.74075603485,0,2729,1608,3411,0
2024-11-19,40006.142090797424,175382.8003435135,0,2729,1608,3411,0
2024-11-20,40006.142090797424,175824.04253673553,0,2729,1608,3411,0
2024-11-21,40006.142090797424,179063.16372299194,0,2729,1608,3411,0
2024-11-22,40006.142090797424,187597.36303138733,0,2729,1608,3411,0
2024-11-25,40006.142090797424,183171.48340702057,0,2729,1608,3411,0
2024-11-26,40006.142090797424,179473.55520248413,0,2729,1608,3411,0
2024-11-27,40006.142090797424,191854.2295179367,0,2729,1608,3411,0
2024-11-29,40006.142090797424,198852.1264257431,0,2729,1608,3411,0
2024-12-02,40006.142090797424,192263.48117256165,0,2729,1608,3411,0
2024-12-03,40006.142090797424,187815.4701166153,0,2729,1608,3411,0
2024-12-04,40006.142090797424,193105.95577144623,0,2729,1608,3411,0
2024-12-05,40006.142090797424,191405.2681684494,0,2729,1608,3411,0
2024-12-06,40006.142090797424,201634.03280830383,0,2729,1608,3411,0
2024-12-09,40006.142090797424,194341.29290866852,0,2729,1608,3411,0
2024-12-10,40006.142090797424,179246.08916854858,0,2729,1608,3411,0
2024-12-11,40006.142090797424,181820.41269683838,0,2729,1608,3411,0
2024-12-12,40006.142090797424,183061.32302379608,0,2729,1608,3411,0
2024-12-13,40006.142090797424,184355.70244026184,0,2729,1608,3411,0
2024-12-16,40006.142090797424,188532.33979320526,0,2729,1608,3411,0
2024-12-17,40006.142090797424,185149.30239200592,0,2729,1608,3411,0
