date,ticker,delta_shares,price,cash_after
2024-01-03,BE,-1355,14.020000457763672,59006.89902973175
2024-01-03,OKLO,-1886,10.649999618530273,79092.79831027985
2024-01-03,IREN,-2941,6.539999961853027,98326.9381980896
2024-03-14,IREN,12790,4.559999942779541,40004.53892993927
2024-03-22,OKLO,2990,10.800000190734863,7712.538359642029
2024-03-22,IREN,-6395,5.050000190734863,40007.28957939148
2024-03-27,OKLO,3080,11.149999618530273,5665.290754318237
2024-03-27,IREN,-6395,5.369999885559082,40006.44002246857
2024-04-09,BE,3617,11.880000114440918,-2963.5203914642334
2024-04-09,OKLO,-3035,14.15999984741211,40012.07914543152
2024-05-22,BE,-1986,17.0,73774.07914543152
2024-05-22,OKLO,839,7.159999847412109,67766.83927345276
2024-05-22,IREN,3575,7.760000228881836,40024.838455200195
2024-05-23,BE,923,15.729999542236328,25506.048877716064
2024-05-23,OKLO,-3874,7.590000152587891,54909.70946884155
2024-05-23,IREN,2108,7.070000171661377,40006.14910697937
2024-07-09,BE,-2554,12.260000228881836,71318.18969154358
2024-07-09,IREN,2442,12.819999694824219,40011.75043678284
2024-08-05,IREN,-8125,8.380000114440918,108099.2513666153
2024-10-04,OKLO,6085,11.1899995803833,40008.10391998291
2024-10-08,OKLO,-3043,10.0,70438.10391998291
2024-10-08,IREN,3780,8.050000190734863,40009.10319900513
2024-11-13,BE,2729,13.600000381469727,2894.702157974243
2024-11-13,OKLO,-1434,23.079999923706055,35991.422048568726
2024-11-13,IREN,-369,10.880000114440918,40006.142090797424
2024-12-24,BE,243,24.329999923706055,34093.95210933685
2024-12-24,OKLO,-1608,23.610000610351562,72058.83309078217
2024-12-24,IREN,2713,11.8100004196167,40018.30195236206
2025-01-13,BE,-1054,23.030000686645508,64291.922676086426
2025-01-13,OKLO,1930,22.8799991607666,20133.524295806885
2025-01-13,IREN,-1901,10.460000038146973,40017.98436832428
2025-01-15,BE,1147,22.649999618530273,14038.434805870056
2025-01-15,OKLO,943,24.170000076293945,-8753.875266075134
2025-01-15,IREN,-4223,11.550000190734863,40021.77553939819
2025-01-29,BE,-3065,22.3799991607666,108616.47296714783
2025-01-29,OKLO,1943,35.29999923706055,40028.574449539185
2025-02-14,OKLO,387,52.619998931884766,-315.3651371002197
2025-02-14,SNDK,-555,36.650001525878906,20025.385709762573
2025-02-18,BE,5018,26.020000457763672,-110542.97658729553
2025-02-18,OKLO,-2602,50.189998626708984,20051.399839401245
2025-02-25,BE,-5018,21.969999313354492,130296.85639381409
2025-02-25,OKLO,3439,32.06999969482422,20008.1274433136
2025-02-27,BE,4245,23.040000915527344,-77796.67644309998
2025-02-27,OKLO,-3020,32.38999938964844,20021.121713638306
2025-03-11,BE,-4245,25.0,126146.1217136383
2025-03-11,OKLO,4167,25.469999313354492,20012.634574890137
2025-03-14,OKLO,-7187,27.719999313354492,219236.26963996887
2025-05-14,OKLO,5383,37.0099983215332,20011.44867515564
2025-05-16,OKLO,-2692,37.720001220703125,121553.69196128845
2025-05-16,IREN,12072,8.40999984741211,20028.173803329468
2025-06-03,OKLO,-1076,49.77000045776367,73580.69429588318
2025-06-03,IREN,-3026,8.890000343322754,100481.83533477783
2025-06-03,SNDK,2081,38.63999938964844,20071.996604919434
2025-06-04,BE,3055,20.25,-41791.75339508057
2025-06-04,OKLO,-355,49.09000015258789,-24364.803340911865
2025-06-04,IREN,-2484,9.430000305175781,-940.6825828552246
2025-06-04,SNDK,-527,39.81999969482422,20044.45725631714
2025-06-06,BMNR,-2581,7.542784690856934,19515.507523536682
2025-06-06,BE,92,21.780000686645508,17511.747460365295
2025-06-06,OKLO,103,50.290000915527344,12331.877366065979
2025-06-06,IREN,469,9.75,7759.127366065979
2025-06-06,SNDK,197,39.150001525878906,46.57706546783447
2025-08-07,BE,709,36.79999923706055,-26044.622393608093
2025-08-07,OKLO,426,79.31999969482422,-59834.94226360321
2025-08-07,IREN,611,18.56999969482422,-71181.21207714081
2025-08-07,SNDK,-1751,40.689998626708984,66.97551822662354
2025-08-18,BMNR,2101,54.85388946533203,-115181.04624843597
2025-08-18,BE,-1378,46.5,-51104.046248435974
2025-08-18,OKLO,-119,68.98999786376953,-42894.2365026474
2025-08-18,IREN,-2076,20.704999923706055,89.34333896636963
2025-08-28,BMNR,49,45.55662155151367,-2142.9311170578003
2025-08-28,BE,-690,54.79999923706055,35669.06835651398
2025-08-28,OKLO,-413,77.88999938964844,67837.63810443878
2025-08-28,IREN,-1314,23.040000915527344,98112.19930744171
2025-08-28,SNDK,1926,50.869998931884766,136.58136463165283
2025-09-11,BMNR,-2150,47.775970458984375,102854.91785144806
2025-09-11,BE,536,67.29000091552734,66787.4773607254
2025-09-11,OKLO,699,79.97000122070312,10888.446507453918
2025-09-11,IREN,510,32.849998474121094,-5865.052714347839
2025-09-11,SNDK,-71,84.30000305175781,120.24750232696533
2025-09-17,BMNR,2546,57.05324172973633,-145137.30594158173
2025-09-17,BE,-501,79.66999816894531,-105222.63685894012
2025-09-17,OKLO,-432,95.29000091552734,-64057.35646343231
2025-09-17,IREN,-929,37.900001525878906,-28848.255045890808
2025-09-17,SNDK,-309,93.97000122070312,188.47533130645752
2025-11-05,BMNR,-2546,41.4078369140625,105612.82811450958
2025-11-05,BE,255,141.41000366210938,69553.27718067169
2025-11-05,OKLO,900,121.2300033569336,-39553.72584056854
2025-11-05,IREN,13,76.41000366210938,-40547.055888175964
2025-11-05,SNDK,-189,216.5,371.44411182403564
2025-11-18,BE,1011,104.97000122070312,-105753.22712230682
2025-11-18,OKLO,-2424,96.62999725341797,128477.88621997833
2025-11-18,IREN,2793,48.849998474121094,-7960.159518241882
2025-11-18,SNDK,-33,244.92999267578125,122.53024005889893
2025-12-01,BE,1489,98.93000030517578,-147184.24021434784
2025-12-01,IREN,-6639,48.4900016784668,174740.88092899323
